OPEN_ID,BUY_TXN_ID,TICKER,INSTRUMENT_TYPE,OPTION_SYMBOL,STRIKE,EXPIRY,ACCOUNT_NAME,ACCOUNT_NUMBER,BUY_DATE,BUY_PRICE,BUY_QUANTITY,BUY_AMOUNT,DAYS_HELD,EST_CURRENT_PRICE,EST_UNREALIZED_PCT,EST_UNREALIZED_DOLLAR,NOMINAL_VALUE,LEVERAGE
po2hpeiXadZFGX0rMaIT,,QCOM,CALL,QCOM280121C00175000,175,2028-01-21,IRA,,2026-06-01,98.86,1,9885.67,12,8400,-15.03,-1485.67,17500.00,1.77
hjIrcFpLntLzq1MVi5a1,,COHR,CALL,COHR280121C00300000,300,2028-01-21,IRA,,2026-05-15,192.51,1,19250.67,29,20100,4.41,849.33,30000.00,1.56
WCAsGVY9687eBhQ7Awpx,,BE,CALL,BE280121C00250000,250,2028-01-21,IRA,,2026-05-11,159.54,1,15953.67,33,13600,-14.75,-2353.67,25000.00,1.57
g2OJeBzATPubS97FpOqO,,TTD,CALL,TTD280121C00015000,15,2028-01-21,IRA,,2026-05-08,10.99,1,1098.67,36,880.0000000000001,-19.90,-218.67,1500.00,1.37
dbOBRwJKm4jSorMqkdXL,,IREN,CALL,IREN280121C00050000,50,2028-01-21,IRA ROTH,,2026-06-05,29.06,1,2905.67,8,3279.9999999999995,12.88,374.33,5000.00,1.72
X9IwI8OUapPfZrH9H14Z,,CIEN,CALL,CIEN280121C00470000,470,2028-01-21,IRA ROTH,,2026-05-28,280.71,1,28070.67,16,17900,-36.23,-10170.67,47000.00,1.67
XqLvUiBaliALQyJDMik2,,SNOW,CALL,SNOW280121C00190000,190,2028-01-21,IRA,,2026-06-03,107.99,1,10798.67,10,9275,-14.11,-1523.67,19000.00,1.76
xesCXVDrYd5KdILxgXtI,,HUBS,CALL,HUBS280121C00150000,150,2028-01-21,IRA,,2026-06-11,88.93,1,8892.67,2,8400,-5.54,-492.67,15000.00,1.69
PA4xq8OgkwxPAxgcJxBU,,DELL,CALL,DELL280121C00350000,350,2028-01-21,IRA,,2026-06-02,203.74,1,20373.67,11,16350,-19.75,-4023.67,35000.00,1.72
VsIJUnRrDJIKtHWlu9cM,,FSLY,CALL,FSLY280121C00020000,20,2028-01-21,IRA ROTH,,2026-05-07,11.00,1,1100.02,37,630,-42.73,-470.02,2000.00,1.82
XPWkzcUef23GTj9O36rx,,DELL,CALL,DELL280121C00340000,340,2028-01-21,IRA,,2026-06-02,208.51,1,20850.67,11,16750,-19.67,-4100.67,34000.00,1.63
XyqDprUu2sqcsdmNI3HO,,TTD,CALL,TTD280121C00015000,15,2028-01-21,IRA,,2026-06-02,10.86,1,1085.67,11,880.0000000000001,-18.94,-205.67,1500.00,1.38
4jHEZIKSYQyAuNYkB29w,,NOW,CALL,NOW280121C00098000,98,2028-01-21,IRA,,2026-06-02,55.20,1,5519.67,11,3550,-35.68,-1969.67,9800.00,1.78
ZxAVBLLfqMKIGtPSsQ0i,,QCOM,CALL,QCOM280121C00170000,170,2028-01-21,IRA ROTH,,2026-05-27,97.78,1,9777.67,17,8555,-12.50,-1222.67,17000.00,1.74
ZHbMkD3eArpKMmy9FgTG,,FSLY,CALL,FSLY280121C00022500,22.5,2028-01-21,IRA ROTH,,2026-05-06,18.90,1,1890.00,38,600,-68.25,-1290.00,2250.00,1.19
27Pqr3NS5s27PR5Jc0W4,,FSLY,CALL,FSLY280121C00015000,15,2028-01-21,IRA,,2026-05-07,10.44,5,5220.12,37,750,-28.16,-1470.12,7500.00,1.44
Bhn9FRcn8tmyLPq6YR4a,,TTD,CALL,TTD280121C00017500,17.5,2028-01-21,IRA,,2026-06-02,9.81,1,980.67,11,819.9999999999999,-16.38,-160.67,1750.00,1.78
f4puhBVBAjiFvz8WJFRo,,GLW,CALL,GLW280121C00135000,135,2028-01-21,IRA ROTH,,2026-06-05,87.55,1,8754.67,8,8400,-4.05,-354.67,13500.00,1.54
hWaMbhvt4mGHUddRd3mv,,FIG,CALL,FIG280121C00017500,17.5,2028-01-21,IRA,,2026-05-07,10.49,5,5245.12,37,815,-22.31,-1170.12,8750.00,1.67
TQBViYLsEFZbVteUBmP7,,QCOM,CALL,QCOM280121C00160000,160,2028-01-21,IRA,,2026-05-27,101.11,1,10110.67,17,9000,-10.99,-1110.67,16000.00,1.58
kKoLaCdamEpfUCXnO7xO,,APLD,CALL,APLD280121C00040000,40,2028-01-21,IRA,,2026-05-22,24.57,2,4913.34,22,2095,-14.72,-723.34,8000.00,1.63
5OJWt1pMsP1c3bE8VBcp,,DDOG,CALL,DDOG280121C00185000,185,2028-01-21,IRA,,2026-06-03,113.76,1,11375.67,10,9550,-16.05,-1825.67,18500.00,1.63
vKUJrDAabkvUvt7EfbU6,,HUBS,CALL,HUBS280121C00175000,175,2028-01-21,IRA ROTH,,2026-06-02,114.27,1,11426.67,11,7400,-35.24,-4026.67,17500.00,1.53
6GZN96eHHJziIoy6mu6w,,MDB,CALL,MDB280121C00290000,290,2028-01-21,IRA,,2026-06-05,170.51,1,17050.67,8,14200,-16.72,-2850.67,29000.00,1.70
4K8EDx6JTdXDlNmKN44Z,,BE,CALL,BE280121C00230000,230,2028-01-21,IRA,,2026-05-15,159.51,1,15950.67,29,14200,-10.98,-1750.67,23000.00,1.44
8BHGCljIE0oyWRipnbYp,,SMCI,CALL,SMCI280121C00025000,25,2028-01-21,DI IRA,,2026-06-10,15.22,1,1521.67,3,1515,-0.44,-6.67,2500.00,1.64
aw2SH45Uz4KweeSjRVRa,,IREN,CALL,IREN280121C00047000,47,2028-01-21,DI IRA,,2026-06-05,29.17,1,2916.67,8,3250,11.43,333.33,4700.00,1.61
B5IFVxxyygKmEUCCVKi9,,INTC,CALL,INTC280121C00090000,90,2028-01-21,IRA,,2026-05-14,55.65,1,5564.67,30,6280,12.85,715.33,9000.00,1.62
rnkGVGomVYIrakzmltwd,,NFLX,CALL,NFLX280121C00075000,75,2028-01-21,IRA ROTH,,2026-05-01,30.50,1,3050.02,43,2075,-31.97,-975.02,7500.00,2.46
BGFm3F0BeoOUXozYkdVg,,HPE,CALL,HPE280121C00042000,42,2028-01-21,IRA,,2026-06-02,23.71,1,2370.67,11,1700,-28.29,-670.67,4200.00,1.77
bJjfSomTeszh7JfSseUn,,NVDA,CALL,NVDA280121C00160000,160,2028-01-21,IRA,,2026-04-30,72.35,1,7235.02,44,7295,0.83,59.98,16000.00,2.21
